Author	Title	Publisher	Shelf	Category	Subject
Clarke and Lee	Rama II The Sequelk to Rendezvois with Rama	Bantam	15	Fiction	SF
COBLEY	Seeds of Earth Book 1 of Humanity's Fire	Orbit	2	Fiction	SF
Cobley	The Ascendant Stars Book Three of Humanity's Fire	Orbit	3	Fiction	SF
Cobley	The Orphaned Worlds Book 2 of Humanity's Fire	Orbit	2	Fiction	SF
Crichton	Jurassic Park	Knopf	Island	Fiction	SF
Crichton	Sphere	Ballantine	14	Fiction	SF
Dantz	Nine Levels Down	Forge	14	Fiction	SF
Del Rey	The Mysterious Planet	Ballantine	14	Fiction	SF
Delany	Dhalgren	Bantam	14	Fiction	SF
Delany	Stars in my Pocket Like Grains of Sand	Bantam	14	Fiction	SF
Dick	The Main in the High Castle	Berkley	14	Fiction	SF
Dillard	Star Trek First Contact	Pocket Books	24	Fiction	SF
Doctorow	Down and Out in the Magic Kingdom: A Novel	Tor	35	Fiction	SF
Doctorow	Radicalized	Tor	35	Fiction	SF
Dozois (ed)	One Million AD	SFBC	24	Fiction	SF
Eco	Foucault's Pendulum	Ballantine	2	Fiction	SF
Elwood (ed)	Visions of Tomorrow An Interstellar Collection	Pocket	13	Fiction	SF
Emshwiller	The Host	Spectra	24	Fiction	SF
Gaiman	Neverwhere	Avon	5	Fiction	SF
Gerritsen	Gravity	Pocket	13	Fiction	SF
Gibson	Virtual Light	Seal	13	Fiction	SF
Greenberg	Foundation's Friends		38	Fiction	SF
Griffiths	The Memory Man	Playboy Paperbacks	13	Fiction	SF
Haldeman	The Forever War	Ballantine	13	Fiction	SF
Heinlein	Future History Stories Complete in One Volume The Past Throug Tomorrow	Berkley Medallion	18	Fiction	SF
Heinlein	The Cat Who Walks Through Walls	Ace	15	Fiction	SF
Heinlein	The Moon is a Harsh Mistress	Ace	13	Fiction	SF
Heinlein	The Number of the Beast	Fawcett	15	Fiction	SF
Heinlein	The Unpleasant Profession of Jonathan Hoag	Ace	13	Fiction	SF
Heinlein	To Sail Beyond the Sunset	Ace	13	Fiction	SF
Herbert	Chapterhouse Dune		33	Fiction	SF
Herbert	Children of Dune		33	Fiction	SF
Herbert	Destination Void	Berkley	13	Fiction	SF
Herbert	Dune		33	Fiction	SF
Herbert	Dune Messiah and Children of Dune		33	Fiction	SF
Herbert	God Emperor of Dune		33	Fiction	SF
Herbert	God Emperor of Dune		33	Fiction	SF
Herbert	Heretics of Dune		33	Fiction	SF
Herbert and Anderson	House Atreides		33	Fiction	SF
Herbert and Anderson	House Corrino		33	Fiction	SF
Herbert and Anderson	House Harkonnen		33	Fiction	SF
Herbert and Anderson	Hunters of Dune		33	Fiction	SF
Herbert and Anderson	Sandworms of Dune		33	Fiction	SF
Herbert and Anderson	The Battle of Corrin		33	Fiction	SF
Herbert and Ransom	The Lazarus Effect The Sequel to The Jesus Incident	Berkley	13	Fiction	SF
Hogan	Giants' Star	Ballantine	13	Fiction	SF
Hogan	The Genesis Machine	Del Rey	13	Fiction	SF
Hogan	The Gentle Giants of Ganymede	Del Rey	13	Fiction	SF
Hogan	The Immortality Option sequel to Code of the Lifemaker	Del Rey	18	Fiction	SF
Hogan	The Proteus Operation	Bantam	18	Fiction	SF
Hogan	Voyage from Yesteryear	Del Rey	18	Fiction	SF
Hoyle and Elliot	Andromeda Breakthrough	Corgi	13	Fiction	SF
James	The Children of Men	Penguin	18	Fiction	SF
Jeter	Star Wars the Mandalorian Armor	Spectra	30	Fiction	SF
Kube-McDowell	Star Wars The Black Fleet Crisis	GuildAmerican Books	24	Fiction	SF
Leckie	Ancillary Justice	Orbis	37	Fiction	SF
Leckie	Ancillary Mercy	Orbis	37	Fiction	SF
Leckie	Ancillary Sword	Orbis	37	Fiction	SF
Leguin	City of Illusions	Ace	15	Fiction	SF
Leguin	Planet of Exile	Ace	15	Fiction	SF
Leguin	Rocannon's World	Ace	15	Fiction	SF
Leguin	The Dispossessed	Avon	15	Fiction	SF
Leguin	The Farthest Shore Earthsea Trilogy 3	Bantam	15	Fiction	SF
Leguin	The Language of the Night Essays on Fantasy and Science Fiction	Berkley Science Fiction	15	Fiction	SF
Leguin	The Left Hand of Darkness	Ace	15	Fiction	SF
Leguin	The Tombs of Atuan	Bantam	10	Fiction	SF
Leguin	The Wind's Twelve Quarters	Bantam	15	Fiction	SF
Leguin (ed)	Edges Thirteen New Tales from the Borderlands of the Imagination	Pocket	15	Fiction	SF
Leigh	The Crystal Memory	Avon	13	Fiction	SF
Leinster	Time Tunnel	Pyramid	13	Fiction	SF
Lem	Solaris	Harcourt	2	Fiction	SF
Macleod	Cosmonaut Keep	Tor	13	Fiction	SF
Macleod	Dark Light	Tor	10	Fiction	SF
Martin (ed)	New Voices 4 The John W Campbell Award Nominees	Berkley	13	Fiction	SF
Mather	Cyberstorm	Harper Collins	1	Fiction	SF
McCaffrey	Dinosaur Planet		38	Fiction	SF
McCaffrey	Dragonquest	Del Rey	24	Fiction	SF
McCaffrey	Dragonsdawn	Del Rey	24	Fiction	SF
McCaffrey	The Rowan	Ace / Putnam	24	Fiction	SF
McCaffrey	The White Dragon	Del Rey	24	Fiction	SF
Michener	Space	Fawcett Crest	10	Fiction	SF
Monteleone	Guardian	Fawcett	13	Fiction	SF
Niven	A Hole in Space	Del Rey	11	Fiction	SF
Niven	Lucifer's Hammer	Fawcett Crest	11	Fiction	SF
Niven	Playgrounds of the Mind	Tor	11	Fiction	SF
Niven	Protector	Del Rey	11	Fiction	SF
Niven	Ringworld	Del Rey	11	Fiction	SF
Niven	Ringworld copy 2	Del Rey	11	Fiction	SF
Niven	The Integral Trees	Del Rey	11	Fiction	SF
Niven	The Mote in God's Eye	Pocket	11	Fiction	SF
Niven	The Ringworld Engineers	Del Rey	11	Fiction	SF
Norton	Postmarked the Stars	Ace	11	Fiction	SF
Norton	The Sioux Spaceman	Ace	11	Fiction	SF
Norton	The X Factor	Ace	11	Fiction	SF
Norton	Victory on Janus	Ace	11	Fiction	SF
Orwell	Nineteen Eighty Four	Folio	14	Fiction	SF
Orwell	Nineteen Eighty-Four	Penguin	11	Fiction	SF
Panshin	Rite of Passage	Ace	11	Fiction	SF
Pohl	Jem	Bantam	11	Fiction	SF
Pohl	Manplus	Bantam	11	Fiction	SF
Pohl (ed)	Nebula Winners 14	Bantam	13	Fiction	SF
Ross and Zimmer Bradley	A Flame in Hali		32	Fiction	SF
Ross and Zimmer Bradley	Hastur Lord		32	Fiction	SF
Ross and Zimmer Bradley	The Alton Gift		32	Fiction	SF
Ross and Zimmer Bradley	The Fall of Neskaya		32	Fiction	SF
Ross and Zimmer Bradley	Zandru's Forge		33	Fiction	SF
Saberhagen	The Berkserker Throne	Tor	10	Fiction	SF
Sawyer	Calculating God	Tor	10	Fiction	SF
Sawyer	The Terminal Experiment	Harper Prism	10	Fiction	SF
Silverberg	At Winter's End	Warner Books	18	Fiction	SF
Silvrberg	The New Springtime	Warner Books	18	Fiction	SF
Smith	Galactic Patrol	Berkley	10	Fiction	SF
Vardeman	Echoes of Chaos	Berkley	10	Fiction	SF
Varley	Millennium	Berkley Science Fiction	19	Fiction	SF
Varley	Titan	Berkley Books	18	Fiction	SF
Varley	Wizard	Berkley Books	18	Fiction	SF
Verne	Twnety Thousand Leagues Under the Sea	Pocket Books	19	Fiction	SF
Wells	The First Men in the Moon	Fontana	5	Fiction	SF
Wells	The Time Machine	Bantam	5	Fiction	SF
Wells	The War of the Worlds	Signet	13	Fiction	SF
Wolfe	Epiphany of the Long Sun Part 2 of the Book of the Long Sun	Orb	9	Fiction	SF
Wolfe	In Green's Jungles Part 2 of the Book of the Short Suyn	TOR	9	Fiction	SF
Wolfe	Litarny of the Long Sun Part 1 of the Book of the Long Sun	Orb	9	Fiction	SF
Wolfe	On Blue's Waters	Tor	10	Fiction	SF
Wolfe	Return to the Whorl	Tor	10	Fiction	SF
Wolfe	The Book of the New Sun	SFBC	9	Fiction	SF
Wolfe	The Urth of the New Sun Sequel to the Book of the New Sun	Orb	9	Fiction	SF
Wyndham	The Chrysalids	Penguin	14	Fiction	SF
Wyndham	The Day of the Triffids	Fawcett	14	Fiction	SF
Zelazny	Lord of Light	Avon	13	Fiction	SF
Zimmer Bradley	A World Divided		32	Fiction	SF
Zimmer Bradley	Ancestors of Avalon		32	Fiction	SF
Zimmer Bradley	City of Sorcery		32	Fiction	SF
Zimmer Bradley	Darkover		33	Fiction	SF
Zimmer Bradley	Darkover Landfall		33	Fiction	SF
Zimmer Bradley	Domains of Darkover		32	Fiction	SF
Zimmer Bradley	Exile's Song		32	Fiction	SF
Zimmer Bradley	Four Moons of Darkover		32	Fiction	SF
Zimmer Bradley	Free Amazons of Darkover		32	Fiction	SF
Zimmer Bradley	Hawkmistress		33	Fiction	SF
Zimmer Bradley	Heritage and Exile		32	Fiction	SF
Zimmer Bradley	Lady of Avalon		32	Fiction	SF
Zimmer Bradley	Leroni of Darkover		33	Fiction	SF
Zimmer Bradley	Red Sun of Darkover		32	Fiction	SF
Zimmer Bradley	Rediscovery		32	Fiction	SF
Zimmer Bradley	Stormqueen		32	Fiction	SF
Zimmer Bradley	The Fall of Atlantis		33	Fiction	SF
Zimmer Bradley	The Forbidden Tower		32	Fiction	SF
Zimmer Bradley	The Hiers of Hammerfell		32	Fiction	SF
Zimmer Bradley	The Keeper's Price		33	Fiction	SF
Zimmer Bradley	The Other Side of the Mirror		32	Fiction	SF
Zimmer Bradley	The Saga of the Renunciates		32	Fiction	SF
Zimmer Bradley	The Shadow Matrix		32	Fiction	SF
Zimmer Bradley	The Spell Sword		32	Fiction	SF
Zimmer Bradley	To Save a World		32	Fiction	SF
Zimmer Bradley	Towers of Darkover		33	Fiction	SF
Zimmer Bradley	Traitor's Song		32	Fiction	SF
Zimmer Bradley	Two to Conquer		32	Fiction	SF
Asimov and Silverberg	Nightfall	Doubleday	24	Fiction	SF (American)
Clarke	3001 The Final Odyssey	Del Rey	24	Fiction	SF (American)
Silverberg	The World Inside	Doubleday	24	Fiction	SF (American)
Atwood	Oryx and Crake	Seal	24	Fiction	SF (Canadian)
Atwood	The Year of the Flood	Vintage	18	Fiction	SF (Canadian)
Czerneda	Migration Species Imperative #2	DAW	24	Fiction	SF (Canadian)
Czerneda	Regeneration Species Imperative #3	DAW	24	Fiction	SF (Canadian)
Czerneda	Survival Species Imperative #1	DAW	24	Fiction	SF (Canadian)
Liu	Ball Lightning	Tor	37	Fiction	SF (Chinese)
Liu	Death's End	Tor	36	Fiction	SF (Chinese)
Liu	Supernova Era	Tor	36	Fiction	SF (Chinese)
Liu	The Dark Forest	Tor	36	Fiction	SF (Chinese)
Liu	The Three-Body Problem	Tor	36	Fiction	SF (Chinese)
Liu	The Wandering Earth	Head of Zeus	Gaby	Fiction	SF (Chinese)
Carter	Swarm	Brindle & Glass	7	Fiction	Speculative
Silverberg	Roma Eterna	Eos	10	Fiction	Speculative
Disch	The Priest	Orion	14	Fiction	Thriller
Preston	Reliquary	Tor	11	Fiction	Thriller
Preston	Riptide	Warner	11	Fiction	Thriller
Matteoli	Escape Hotel Stories	Assouline	12	Fiction	Travel
Nguyen	The Sympathizer	Grover Press	20	Fiction	Vietnamese
Collins	The Art of the Cocktail 100 Classic Cocktail Recipes	Chronicle Books	8	Food	Alcohol
Lewis	The Beverly Lewis Amish Heritage Cookbook	Bethany House Publishers	9	Food	Amish
MURDOCH	Chinese & Asian Step-by-step	Murdoch	8	Food	Asian
K	Caribbean Cuisine	Centax Books	9	Food	Caribbean
Clark	Casseroles and other delicious one-pot wonders	Australian Women' Weekly	8	Food	Casseroles
Weber	Best-loved Casseroles	Publications International	8	Food	Casseroles
Favourite Recipes	Great Tasting Chicken Recipes	Publications International	8	Food	Chicken
Time Life Books	Recipes: Chinese Cooking	Time Life Books	9	Food	Chinese
Ojakangas	Pot Pies	Clarkson Potter	11	Food	Cookbook
Cherkasky	The Artful Pie	Chapters	8	Food	Dessert
Berry	Popular French Cookery	Dolphin Press	8	Food	French
Ackart	The One-Dish Cookbook	Grosset & Dunlap	8	Food	General Cookbook
Crocker	Betty Crocker's New Dinner for Two Cookbook	Golden Press	8	Food	General Cookbook
Dwillies	The Western Living Cookbook	Whitecap	8	Food	General Cookbook
Feniger	City cuisine	William Morrow and Co	8	Food	General Cookbook
Gilletz	The Food Processor Bible	Whitecap	8	Food	General Cookbook
Kostick	The $10 Gourmet	Whitecap	8	Food	General Cookbook
Martin	Easy Cooking For Today	Brimar	8	Food	General Cookbook
Rombauer	The Joy of Cooking	Bobbs-Merrill	8	Food	General Cookbook
Rombauer et al	Joy of cooking	Scribner	9	Food	General Cookbook
Rosengarten et al	The Dean & Deluca Cookbook	Random House	9	Food	General Cookbook
Turgeon	The Encyclopedia of Creative Cooking	New World Marketing	8	Food	General Cookbook
Weber	Light Cooking	Publications International	8	Food	General Cookbook
MacMillan	German Cooking	Cavendish House	9	Food	German
Lukins	All Around The World Cookbook	Workman Publishing	8	Food	International
Mount Salus Prss	250 Irish Recipes Traditional and Modern	Mount Salus Press	9	Food	Irish
Abramowitz	Knishes & Know-how: Jewish cooking for everyone	"Holt, Rinehard and Winston of Canada"	9	Food	Jewish
Calder	Welcome to Microwave Cooking	Centax	8	Food	Microwave
Knox	Better Homes and Gardens Step by Step Microwave Cookbook	Meredith	8	Food	Microwave
Toshiba	Successful Microwaving with Toshiba	Toshiba	8	Food	Microwave
Ferguson	Polish Cooking	Crescent Books	8	Food	Polish
Clark	Potato Cookbook	Australian Women' Weekly	8	Food	Potatoes
Bernardin	Bernardin Guide to Home Preserving	Bernardin	8	Food	Preserves
Walden	Perfect Preserves	Thomas Allen	8	Food	Preserves
Hoffman	Healthy Crockery Cookery	HPBooks	8	Food	Slow cooking
Clark	Easy Thay-style cookery	Australian Women' Weekly	8	Food	Thai
Ensrud	The Pocket Guide to Wine	Prentice Hall	8	Food	Wine
Crawford et al	D&D Dungeon Master's Guide	Wizards of the Coast	16	Games	Fantasy
Crawford et al	D&D Player's Handbook	Wizards of the Coast	16	Games	Fantasy
Perkins et al	D&D Monster Manual	Wizards of the Coast	16	Games	Fantasy
Witmer et al	Art & Arcana A Visual History	Ten Speed Press	18	Games	Fantasy
Tucker	FF Dot. -The Pixel Art of FINAL FANTASY-	Square Enix Co	35	Games	Graphics
Barton	Dungeons and Desktops the History of Computer Role-Playing Games	A K Peters	4	Games	History
Bryceland	103 Hikes in Southwestern British Columbia	Greystone	3	Geography	Canadian
Downs (ed)	Incredible Rogers Pass	Heritage House Publishing	16	Geography	Canadian
Patton and Robinson	50 Walks and Hikes in Banff National Park	Summerthought	15	Geography	Canadian
Pole	Classic Hikes in the Canadian Rockies	Mountain Vision Publishing	5	Geography	Canadian
Fung	The Obesity Code	Greystone	Reading	Health	Nutrition
Gidwold and Morgan	Basic Training  Fundamental Guide to Fitness for Men	St Martin's Press	19	Health	Working out
Hix	Working Out The Shape-up Guide for Men	Simon & Schuster	19	Health	Working out
Tise	Hidden Imags Discovering Details in the Wright Brothers' Kitty Hawk Photographs 1900-1911	Charleston London Press	26	History	Aviation
Wescott and Degen	Wind and Sand The Story of the Wright Brothers at Kitty Hawk	Eastern National	26	History	Aviation
Obee	Royal Oak Burial Park A History and Guide	Obee	10	History	British Columbia
Berton	The Promised Land Settling the West 1896-1914	Anchor	3	History	Canadian
Carlson (ed)	You Are Asked to Witness: The Stó:l_ in Canada's Pacific Coast History	Stó:l_ Heritage Trust	16	History	Canadian
Davied (ed)	Many Voices II A Collective History of Greater Fort Erie	Fort Erie Museum Board	26	History	Canadian
Duff	The Indian History of British Columbia The Impact of the White Man	Royal British Columbia Museum	16	History	Canadian
Grantq	Victoria a History in Photographs	Altitude	16	History	Canadian
Kerr (ed) et al	Historical Atlas of Canada	University of Toronto Press	31	History	Canadian
Kurelek	They Sought A New World The story of European immigration to North America	Tundra	16	History	Canadian
Ray	I Have Lived Here Since the World Began	Key Porter	28	History	Canadian
Raymond	"Tales of the Old Town A History, Fort Erie Ontario"	Fort Erie Historical Museum	16	History	Canadian
Stewart	The Adventures and Sufferings of John R Jewitt	Douglas & McIntyre	26	History	Canadian
Vogel and Wyse	Vancouver a History in Photographs	Altitude	16	History	Canadian
Bartlett et al	Over Hong Kong Volume 5 2e	Odyssey Books	31	History	Chinese
Wiltshire	Old Hong Kong	FormAsia	25	History	Chinese
Hughes	Barcelona	Vintage	5	History	European
Boswell	Same-Sex Unions in Premodern Europe	Vintage	3	History	LGBT
Mackinnon et al	Toronto's Visual Legacy Official City Photography from 1856 to Present	Lorimer	20	History	Photography
Zamoyski	Poland A History	Hippocrene Books	Island	History	Poland
Lukowski	A Concise Historey Of Poland 3e	Cambridge University Press	Island	History	Poland
Diamond	Collapse How Societies Choose to Fail or Succeed	Penguin	17	History	Social
Diamond	"Guns, Germs, and Steel The Fates of Human Societies"	Norton	17	History	Social
Davis	History of Vancouver	Harbour	1	History	Vancouver
Time	Lighting and Electricity	Time-Life Books	5	Home	Electricity
Gore	2001 Household Hints & Dollar Stretchers	Hanover House	9	Home economics	History
Alexander	The Vanishing Arctic	Facts on file	19	Human Ecology	Arctic
Kheraj	Inventing Stanley Park	UBC Press	30	Human Ecology	Vancouver
Connor and Downey	Is Martha Stuart Living	Harper	19	Humour	Parody
Connor and Downey	Martha Stuart's better than you at Entertaining	Harper Perennial	19	Humour	Parody
Abrams	A Glossary of Literary Terms 7e	Harcourt Brace	2	Language	English
Bryson	The Mother Tongue English and how it got that way	Harper	2	Language	English
Gucker	Essential English Grammar	Dover	2	Language	English
Kendris	501 French Verbs 2e	Barrons	17	Language	English
Quirk	A University Grammer of English	Longman	2	Language	English
Abbadue et al	L'expression française écrite et orale	Presses Universitaires de Granobles	28	Language	French
Anglade	Grammaire élémentaire de l'ancien français	Collection U	17	Language	French
Cajolet-Laganière	Le français au bureau 3e	Publications de Québec	17	Language	French
Capelle and Grellet	C'est facile à dire!	Hatier	28	Language	French
Cicurel	Communiquer en francais	Didier	3	Language	French
Corado	Français des affaires	Hachette	28	Language	French
Corbeil	Dictionnaire Visuel Thematique	Quebec / Amerique	17	Language	French
De Lage	Introduction à l'ancien français	Société d'édition d'enseignement supérieur	17	Language	French
Forbes (ed) et al	Harrap's Concise French-English Dictionary	Harrap	17	Language	French
Mahler	Grammaire expliquée du français contemporain	Canadian Scholars' Press Inc	17	Language	French
McConnell	Vive le francais 7	Addison Wesley	1	Language	French
McConnell et al	Vive le français 1	Addison Wesley	17	Language	French
McConnell et al	Vive le français 2	Addison Wesley	17	Language	French
McConnell et al	Vive le français 3	Addison Wesley	17	Language	French
McConnell et al	Vive le français 4	Addison Wesley	17	Language	French
McConnell et al	Vive le français 5	Addison Wesley	17	Language	French
McConnell et al	Vive le français 6	Addison Wesley	17	Language	French
Niquet	Structurer sa pensée structurer sa phrase	niveau supérieur	28	Language	French
Rey (ed)	Le Micro-Robert Poche	Dictionnaires le Robert	17	Language	French
Robinson and Smith	Dictionary of Canadian French	Stoddart	17	Language	French
Siskin et al	Tâches d'encre Cours de composition	D C Heath and Company	17	Language	French
Vinay and Darbelnet	Stylistique comparée du français et de l'anglais	Beauchemin	17	Language	French
Banno et al	Genki 1 An Integrated Course in Elementary Japanes 2e	The Japan Times	19	Language	Japanese
Banno et al	Genki 1 Worbook 2e	The Japan Times	19	Language	Japanese
Amery	The Usborne First Thousand Words in Polish	Usborne	16	Language	Polish
Bielec	Polish An Essential Grammar	Routledge	28	Language	Polish
Fraser	The Language Guy's Polish Frequency Dictionary	Salem House Press	28	Language	Polish
Grala	Z polskim na co dzie_	Pa_stwowe Wydawnictwo Naukowe	5	Language	Polish
Grundy and Swan	The Routledge Intermediate Polish Reader	Routledge	28	Language	Polish
Janecki	301 Polish Verbs	Barron's	28	Language	Polish
Rudzka	w_ród Polaków Cz___ 2	Katolicki Uniwersytet Lubelski	28	Language	Polish
Rudzka and Goczo_owa	w_ród Polaków Cz___ 1	Katolicki Uniwersytet Lubelski	28	Language	Polish
Sadowska	Polish A Comprehensive Grammar	Routledge	28	Language	Polish
Stempek	Polski Krok Po Kroku 1	Glossa	22	Language	Polish
Stempek	Polski Krok Po Kroku 2	Glossa	1	Language	Polish
Freedman	Critical Theory and Science Fiction	Wesleyan University Press	3	Literary Criticism	English
Greenberg	The Collected Essays and Criticism Volume 1 1939 - 1944	University of Chicago Press	3	Literary Criticism	English
Leguin	Steering the Craft a 21st-Century Guide to Sailing the Sea of Story	Mariner	15	Literary Criticism	English
Matthew	Janet Frame Semiotics and Biosemiotics in Her Early Fiction	Farleigh Dickinson University Press	4	Literary Criticism	English
Pinkr	The Sense of Style	Viking	3	Literary Criticism	English
Roberts	The History of Science Fiction	Palgraves	3	Literary Criticism	English
Leguin	Dancing at the Edge of the World	Grove	15	Literary Criticism	Essays
Leguin	"The Wave in the Mind Talks and Essays on the Writer, the Reader, and the Imagination"	Shambala	15	Literary Criticism	Essays
Leguin	Words are my Matter Writing about Life and Books 2000-2016	Small Beer Press	15	Literary Criticism	Essays
Irving	A Prayer for Own Meany	Ballantine	24	Literature	American
Mailler	Existential Errands	Signet	10	Literature	American
Rand	Atlas Shrugged	Signet	10	Literature	American
Rand	The Fountainhead	Signet	10	Literature	American
Steinbeck	Of Mice and Men	Bantam	10	Literature	American
Vidal	Kalki	Random House	Island	Literature	American
Willians	The Glass Menagerie	Signet Classic	29	Literature	American
Atwood	The Edible Woman	Bantam	19	Literature	Canadian
Laurence	The Stone Angel	Seal Books	18	Literature	Canadian
MacDonald	Fall On Your Knees	Vintage	18	Literature	Canadian
MacDonald	Goodnight Desdemona (Good morning Juliet)	Vintage	29	Literature	Canadian
Montgomery	Anne of Green Gables	Folio	37	Literature	Canadian
Richardson et al	The Alphabet Thief	Groundwood Books	20	Literature	Canadian
Ryga	The Ecstasy of Rita Joe	Talonbooks	29	Literature	Canadian
Leguin	No Time To Spare	Houghton Mifflin Harcourt	36	Literature	Criticism
Mendlesohn	Rhetorics of Fantasy	Wesleyan	36	Literature	Criticism
Albee	The Collected Plays of Edward Albee Volume 1 1958-1965	Overlook Duckworth	4	Literature	English
Albee	The Collected Plays of Edward Albee Volume 2 1966-1977	Overlook Duckworth	4	Literature	English
Albee	The Collected Plays of Edward Albee Volume 3 1978-2003	Overlook Duckworth	20	Literature	English
Austen	Sense and Sensibility	Oxford	2	Literature	English
Bronte	Jane Eyre	Modern Library Classics	30	Literature	English
Brontë	Shirley	Wordsworth Classics	18	Literature	English
Fielding	Joseph Andrews	Penguin	2	Literature	English
Forster	A Passage to Indio	BOMC	30	Literature	English
Forster	A Room With a View	BOMC	30	Literature	English
Forster	Howard's End	BOMC	30	Literature	English
Forster	Maurice	BOMC	30	Literature	English
Forster	The Longest Journey	BOMC	30	Literature	English
Forster	Where Angels Fear to Tread	BOMC	30	Literature	English
Frame	A State of Siege	George Braziller	4	Literature	English
Frame	An Autobiography	George Braziller	4	Literature	English
Frame	An Autobiography Copy 2	George Braziller	4	Literature	English
Frame	Between My Father and The King	Counterpoint	4	Literature	English
Frame	Daughter Buffalo	George Braziller	4	Literature	English
Frame	Faces In The Water	George Braziller	4	Literature	English
Frame	Intensive Care	George Braziller	4	Literature	English
Frame	Jay To Bee	Counterpoint	36	Literature	English
Frame	Living in the Maniototo	George Braziller	4	Literature	English
Frame	Mona Minim and the Smell of the Sun	Braziller	35	Literature	English
Frame	Owls Do Cry	Sun Books	4	Literature	English
Frame	Scented Gardens For The Blind	George Braziller	4	Literature	English
Frame	"Snowman, Snowman Fables and Fantasies"	George Braziller	4	Literature	English
Frame	The Adaptable Man	George Braziller	4	Literature	English
Frame	The Carpathians	George Braziller	4	Literature	English
Frame	The Daylight and the Dust Selected Short Stories	Virago	4	Literature	English
Frame	The Edge of the Alphabet	George Braziller	4	Literature	English
Frame	The Reservoir Stories and Sketches	Forgotten Books	4	Literature	English
Frame	Towards Another Summer	Counterpoint	4	Literature	English
Frame	Yellow Flowers in the Antipodean Room	George Braziller	4	Literature	English
Frame	You Are Now Entering the Human Heart	The Women's Press	4	Literature	English
Geddes	20th Century Poetry and Poetics	Oxford	4	Literature	English
Heald (ed)	The Bes After Dinner Stories	Folio	28	Literature	English
Hutchinson	If Winter Comes	Grosset and Dunlap	17	Literature	English
Kipling	The Man Who Would Be Kind and Other Stories	Dover	29	Literature	English
LeFanu	Green Tea and Other Ghost Stories	Dover	29	Literature	English
Manguel (ed)	"Meanwhile, in another part of the forest"	Knopf	16	Literature	English
Mann	Thomas Mann Complete & Unabridged	Heinemann and Octopus	15	Literature	English
Maugham	W Sommerset Maugham Complete & Unabridged	Heinemann and Octopus	15	Literature	English
McMillin (ed)	Restoration and Eighteenth-Century Comedy	Norton Critical Editions	17	Literature	English
Orwell	Animal Farm	Folio	19	Literature	English
Poe	Tales of Mystery and Imagination	J M Dent and Sons	17	Literature	English
Shakespeare	The Complete Works of William Shakespeare (John Dover Wilson)	Cambridge University Press	37	Literature	English
Shakespears	Othello	Signet Classic	29	Literature	English
Shakespears	The Sonnets	Those Great Littl Books	29	Literature	English
Shelley	Frankenstein	Oxford	29	Literature	English
Vonnegut	Kurt Vonnegut Complete & Unabridged	Heinemann and Octopus	15	Literature	English
"Vonnegut, Jr."	Welcome to the Monkey House	Dell	5	Literature	English
Woolf	Orlando	Penguin	18	Literature	English
Wyndham	The Chrysalids	House of Grant	38	Literature	English
Tolkien	The Fellowship of the Ring	Folio	9	Literature	Fantasy
Tolkien	The Hobbit	Folio	9	Literature	Fantasy
Tolkien	The Return of the King	Folio	9	Literature	Fantasy
Tolkien	The Two Towers	Folio	9	Literature	Fantasy
Beaumarchais	The Barber of Seville The Marriage of Figaro	Penguin Classics	29	literature	French
Bédier	The Romance of Tristan & Iseult	Vintage	29	Literature	French
Camus	The Outsider	Penguin	29	Literature	French
Corneille	The Cid / Cinna / The Theatrical Illusion	Penguin Classics	29	Literature	French
de Balzac	Père Goriot	Signet Classic	29	Literature	French
Flaubert	Madame Bovary	Classiques Garnier	29	Literature	French
Flaubert	Madame Bovary	Signet Classic	29	Literature	French
Fournier	Le Grand Meaulnes	Penguin	29	Literature	French
Gide	The Immoralist	Vintage	29	Literature	French
Molière	The Nisanthrope and Tartuffe	HBJ	29	Literature	French
Montesquieu	Lettres Persanes	Classiques Garnier	29	LIterature	French
Rabelais	Gargantua and Pantagruel	Penguin Classics	29	Literature	French
Racine	Iphigenia / Phaedra / Athaliah	Penguin Classics	29	Literature	French
Voltaire	Candide	Bantam	29	Literature	French
Zola	Germinal	Signet Classic	29	Literature	French
Hollinghurst	The Folding Star	Vintage	30	Literature	Gay
Hollinghurst	The Spell	Vintage	30	Literature	Gay
Hollinghurst	The Swimming Pool Library	Penguin	30	Literature	Gay
Puchner	The Written Word	Random House	37	Literature	History
Joyce	A Portrait of the Artist as a Young Man	Pocket Books	18	Literature	Irish
Ibsen	The Wild Duck	Dover	29	Literature	Norwegian
Prus	The Doll	Nyrb	23	Literature	Polish
Chehkov	The Three Sisters	Dover	29	Literature	Russian
Chernyshevsky	What is to be done?	Cornell	7	Literature	Russian
Dostoyevsky	Crime and Punishment	Penguin Classics	29	Literature	Russian
Dostoyevsky	Crime and Punishment	Illustrated Modern Library	29	Literature	Russian
Dostoyevsky	Notes from Underground / The Double	Penguin Classics	29	Literature	Russian
Dostoyevsky	The Brothers Karamazov	Bantam	29	Literature	Russian
Dostoyevsky	The Devils	Penguin Classics	29	Literature	Russian
Turgenev	Fathers and Sons	Penguin Classics	29	Literature	Russian
Stewart	Martha Stewart Living Number 3	Martha Stewart Living	19	Magazine	Lifestyle
Stewart	Martha Stewart Living Number 4	Martha Stewart Living	19	Magazine	Lifestyle
Stewart	The best of Martha Stewart Living Handmade Christmas	Martha Stewart Living	19	Magazine	Lifestyle
